Date,ACWI,BTC-USD,GLD,JPY=X,LQD,TLT,wage_JP_5,wage_JP_30,wage_us
2020-09-01,73.28766632080078,10784.4912109375,177.1199951171875,105.66400146484375,111.2991943359375,139.40748596191406,99.8,99.9,9713.5
2020-10-01,71.65538024902344,13780.9951171875,176.1999969482422,104.55400085449219,110.73046112060547,134.70079040527344,100.0,99.9,9823.5
2020-11-01,80.08273315429688,19625.8359375,166.6699981689453,104.08200073242188,114.9143295288086,136.93699645996094,100.0,99.7,9866.5
2020-12-01,83.19139862060547,29001.720703125,178.36000061035156,103.12100219726562,114.86695861816406,135.12225341796875,100.2,99.6,9894.1
2021-01-01,83.57769012451172,33114.359375,172.61000061035156,104.68000030517578,113.21910858154297,130.4822540283203,100.3,99.5,9838.8
2021-02-01,85.4906234741211,45137.76953125,161.80999755859375,106.52999877929688,110.4386978149414,122.85932159423828,100.3,99.5,9902.7
2021-03-01,87.93030548095703,58918.83203125,159.9600067138672,110.30500030517578,108.79932403564453,116.40995788574219,100.5,99.5,10059.3
2021-04-01,91.66376495361328,57750.17578125,165.66000366210938,108.90399932861328,109.94315338134766,119.29486083984375,100.5,99.2,10171.6
2021-05-01,93.01298522949219,37332.85546875,178.3800048828125,109.90699768066406,110.628662109375,119.28578186035156,100.4,99.0,10281.0
2021-06-01,93.51200866699219,35040.8359375,165.6300048828125,110.53500366210938,113.07435607910156,124.56040954589844,100.3,98.9,10390.8
2021-07-01,95.04207611083984,41626.1953125,169.82000732421875,109.66999816894531,114.68678283691406,129.20733642578125,100.4,98.5,10439.7
2021-08-01,97.1083984375,47166.6875,169.69000244140625,109.94400024414062,114.30331420898438,128.77882385253906,100.4,98.6,10521.1
2021-09-01,93.003662109375,43790.89453125,164.22000122070312,111.93599700927734,112.58672332763672,125.02864074707031,100.5,98.6,10665.8
2021-10-01,98.02057647705078,61318.95703125,166.64999389648438,113.83499908447266,113.16327667236328,128.11082458496094,100.6,98.5,10766.4
2021-11-01,95.75878143310547,57005.42578125,165.5,113.80400085449219,113.02388000488281,131.66073608398438,100.7,98.3,10848.2
2021-12-01,98.45804595947266,46306.4453125,170.9600067138672,115.06300354003906,112.78660583496094,128.8717803955078,100.8,98.2,10834.3
2022-01-01,94.95813751220703,38483.125,168.08999633789062,115.26200103759766,109.14115905761719,124.11807250976562,100.6,98.0,10899.3
2022-02-01,92.05211639404297,43193.234375,178.3800048828125,115.58499908447266,106.6125717163086,121.92150115966797,100.7,97.9,10942.4
2022-03-01,93.83899688720703,45538.67578125,180.64999389648438,122.02100372314453,103.51116180419922,115.29141235351562,100.9,97.8,10959.0
2022-04-01,86.26830291748047,37714.875,176.91000366210938,129.6820068359375,96.57115173339844,104.40487670898438,101.0,97.7,10991.5
2022-05-01,86.65387725830078,31792.310546875,171.13999938964844,127.78399658203125,98.3565902709961,102.03494262695312,101.1,97.9,11033.9
2022-06-01,78.89510345458984,19784.7265625,168.4600067138672,136.58900451660156,94.78018951416016,100.72671508789062,101.3,98.1,11196.6
2022-07-01,85.2577133178711,23336.896484375,164.10000610351562,133.22999572753906,98.96232604980469,103.15472412109375,101.4,98.1,11275.2
