path,wage level,1,2,3,4,5,6,7,8,9,10
16,wage5,1501.045922,1500.992936,1500.911852,1501.037848,1500.920309,1501.006045,1501.050519,0.955219213,0.959825911,0.989094026
16,wage6,2001.045922,2000.992936,2000.911852,2001.037848,2000.920309,2001.006045,2001.050519,0.955219213,0.959825911,0.989094026
16,wage7,5001.045922,5000.992936,5000.911852,5001.037848,5000.920309,5001.006045,5001.050519,0.955219213,0.959825911,0.989094026
16,wage8,10001.04592,10000.99294,10000.91185,10001.03785,10000.92031,10001.00604,10001.05052,10000.95522,10000.95983,10000.98909
17,wage1,150.9630974,150.983791,150.9822208,151.0408271,150.9469467,150.9808316,151.0027907,1001.046235,1001.012337,1000.979888
17,wage2,300.9630974,300.983791,300.9822208,301.0408271,300.9469467,300.9808316,301.0027907,1.046234975,1.012337093,0.979887859
17,wage3,700.9630974,700.983791,700.9822208,701.0408271,700.9469467,700.9808316,701.0027907,1.046234975,1.012337093,0.979887859
17,wage4,1000.963097,1000.983791,1000.982221,1001.040827,1000.946947,1000.980832,1001.002791,1.046234975,1.012337093,0.979887859
17,wage5,1500.963097,1500.983791,1500.982221,1501.040827,1500.946947,1500.980832,1501.002791,1.046234975,1.012337093,0.979887859
17,wage6,2000.963097,2000.983791,2000.982221,2001.040827,2000.946947,2000.980832,2001.002791,1.046234975,1.012337093,0.979887859
17,wage7,5000.963097,5000.983791,5000.982221,5001.040827,5000.946947,5000.980832,5001.002791,1.046234975,1.012337093,0.979887859
17,wage8,10000.9631,10000.98379,10000.98222,10001.04083,10000.94695,10000.98083,10001.00279,10001.04623,10001.01234,10000.97989
18,wage1,150.9445734,1001.053577,1001.042658,1000.967935,1000.984738,1000.97614,1000.897953,1000.971683,1001.030044,1000.97033
18,wage2,300.9445734,1.053577456,1.042657688,0.967935005,0.984737998,0.976139602,0.897952781,0.97168275,1.03004437,0.970330119
18,wage3,700.9445734,1.053577456,1.042657688,0.967935005,0.984737998,0.976139602,0.897952781,0.97168275,1.03004437,0.970330119
18,wage4,1000.944573,1.053577456,1.042657688,0.967935005,0.984737998,0.976139602,0.897952781,0.97168275,1.03004437,0.970330119
18,wage5,1500.944573,1.053577456,1.042657688,0.967935005,0.984737998,0.976139602,0.897952781,0.97168275,1.03004437,0.970330119
18,wage6,2000.944573,1.053577456,1.042657688,0.967935005,0.984737998,0.976139602,0.897952781,0.97168275,1.03004437,0.970330119
18,wage7,5000.944573,1.053577456,1.042657688,0.967935005,0.984737998,0.976139602,0.897952781,0.97168275,1.03004437,0.970330119
18,wage8,10000.94457,10001.05358,10001.04266,10000.96794,10000.98474,10000.97614,10000.89795,10000.97168,10001.03004,10000.97033
19,wage1,150.9700345,151.0074782,150.922285,150.9872649,1001.001065,1001.000185,1000.968535,1001.048571,1000.954082,1000.997614
19,wage2,300.9700345,301.0074782,300.922285,300.9872649,1.001064791,1.000185406,0.968534834,1.048571379,0.954081527,0.997613511
19,wage3,700.9700345,701.0074782,700.922285,700.9872649,1.001064791,1.000185406,0.968534834,1.048571379,0.954081527,0.997613511
19,wage4,1000.970035,1001.007478,1000.922285,1000.987265,1.001064791,1.000185406,0.968534834,1.048571379,0.954081527,0.997613511
19,wage5,1500.970035,1501.007478,1500.922285,1500.987265,1.001064791,1.000185406,0.968534834,1.048571379,0.954081527,0.997613511
19,wage6,2000.970035,2001.007478,2000.922285,2000.987265,1.001064791,1.000185406,0.968534834,1.048571379,0.954081527,0.997613511
19,wage7,5000.970035,5001.007478,5000.922285,5000.987265,1.001064791,1.000185406,0.968534834,1.048571379,0.954081527,0.997613511
19,wage8,10000.97003,10001.00748,10000.92228,10000.98726,10001.00106,10001.00019,10000.96853,10001.04857,10000.95408,10000.99761
20,wage1,151.0772037,150.9766806,1000.949872,1001.013286,1001.025842,1001.003434,1000.97863,1001.010834,1000.981535,1001.000258
20,wage2,301.0772037,300.9766806,0.94987161,1.01328637,1.025841824,1.003433566,0.978629632,1.010833707,0.98153535,1.00025846
20,wage3,701.0772037,700.9766806,0.94987161,1.01328637,1.025841824,1.003433566,0.978629632,1.010833707,0.98153535,1.00025846
20,wage4,1001.077204,1000.976681,0.94987161,1.01328637,1.025841824,1.003433566,0.978629632,1.010833707,0.98153535,1.00025846
20,wage5,1501.077204,1500.976681,0.94987161,1.01328637,1.025841824,1.003433566,0.978629632,1.010833707,0.98153535,1.00025846
20,wage6,2001.077204,2000.976681,0.94987161,1.01328637,1.025841824,1.003433566,0.978629632,1.010833707,0.98153535,1.00025846
20,wage7,5001.077204,5000.976681,0.94987161,1.01328637,1.025841824,1.003433566,0.978629632,1.010833707,0.98153535,1.00025846
20,wage8,10001.0772,10000.97668,10000.94987,10001.01329,10001.02584,10001.00343,10000.97863,10001.01083,10000.98154,10001.00026
21,wage1,151.0186099,1000.994895,1000.959105,1000.956087,1000.990058,1001.036782,1001.019251,1000.967507,1000.968059,1000.96063
21,wage2,301.0186099,0.994894863,0.95910452,0.956086767,0.990058379,1.036782165,1.019250622,0.96750685,0.968058611,0.960630206
21,wage3,701.0186099,0.994894863,0.95910452,0.956086767,0.990058379,1.036782165,1.019250622,0.96750685,0.968058611,0.960630206
21,wage4,1001.01861,0.994894863,0.95910452,0.956086767,0.990058379,1.036782165,1.019250622,0.96750685,0.968058611,0.960630206
21,wage5,1501.01861,0.994894863,0.95910452,0.956086767,0.990058379,1.036782165,1.019250622,0.96750685,0.968058611,0.960630206
21,wage6,2001.01861,0.994894863,0.95910452,0.956086767,0.990058379,1.036782165,1.019250622,0.96750685,0.968058611,0.960630206
21,wage7,5001.01861,0.994894863,0.95910452,0.956086767,0.990058379,1.036782165,1.019250622,0.96750685,0.968058611,0.960630206
21,wage8,10001.01861,10000.99489,10000.9591,10000.95609,10000.99006,10001.03678,10001.01925,10000.96751,10000.96806,10000.96063
22,wage1,150.9871839,151.0254992,151.0173749,150.9877207,151.0414764,151.0038962,1001.00407,1000.918062,1001.007005,1000.986562
22,wage2,300.9871839,301.0254992,301.0173749,300.9877207,301.0414764,301.0038962,1.004069828,0.918062295,1.007005023,0.986562277
22,wage3,700.9871839,701.0254992,701.0173749,700.9877207,701.0414764,701.0038962,1.004069828,0.918062295,1.007005023,0.986562277
22,wage4,1000.987184,1001.025499,1001.017375,1000.987721,1001.041476,1001.003896,1.004069828,0.918062295,1.007005023,0.986562277
22,wage5,1500.987184,1501.025499,1501.017375,1500.987721,1501.041476,1501.003896,1.004069828,0.918062295,1.007005023,0.986562277
22,wage6,2000.987184,2001.025499,2001.017375,2000.987721,2001.041476,2001.003896,1.004069828,0.918062295,1.007005023,0.986562277
22,wage7,5000.987184,5001.025499,5001.017375,5000.987721,5001.041476,5001.003896,1.004069828,0.918062295,1.007005023,0.986562277
22,wage8,10000.98718,10001.0255,10001.01737,10000.98772,10001.04148,10001.0039,10001.00407,10000.91806,10001.00701,10000.98656
23,wage1,150.9638819,150.9654564,150.9761895,150.8961997,1000.983487,1000.990857,1001.03089,1001.12714,1001.090081,1000.972614
23,wage2,300.9638819,300.9654564,300.9761895,300.8961997,0.983487093,0.990856655,1.030889563,1.127139539,1.090081109,0.972613916
23,wage3,700.9638819,700.9654564,700.9761895,700.8961997,0.983487093,0.990856655,1.030889563,1.127139539,1.090081109,0.972613916
23,wage4,1000.963882,1000.965456,1000.976189,1000.8962,0.983487093,0.990856655,1.030889563,1.127139539,1.090081109,0.972613916
23,wage5,1500.963882,1500.965456,1500.976189,1500.8962,0.983487093,0.990856655,1.030889563,1.127139539,1.090081109,0.972613916
23,wage6,2000.963882,2000.965456,2000.976189,2000.8962,0.983487093,0.990856655,1.030889563,1.127139539,1.090081109,0.972613916
23,wage7,5000.963882,5000.965456,5000.976189,5000.8962,0.983487093,0.990856655,1.030889563,1.127139539,1.090081109,0.972613916
23,wage8,10000.96388,10000.96546,10000.97619,10000.8962,10000.98349,10000.99086,10001.03089,10001.12714,10001.09008,10000.97261
24,wage1,151.0560347,150.9894062,150.9671131,151.0036446,151.0374197,1001.016426,1000.973138,1000.805965,1001.035963,1001.008793
24,wage2,301.0560347,300.9894062,300.9671131,301.0036446,301.0374197,1.016425853,0.973137963,0.805964873,1.035963409,1.00879291
24,wage3,701.0560347,700.9894062,700.9671131,701.0036446,701.0374197,1.016425853,0.973137963,0.805964873,1.035963409,1.00879291
